file,total_nodes,level,node_count,internal_node_count,child_edge_count,avg_children_per_node,avg_children_per_internal_node,min_children,max_children,child_distance_samples,avg_child_distance,min_child_distance,max_child_distance
"../fsst-paper/dbtext/wikipedia",385,5,35,20,21,0.6,1.05,1,2,21,26.7143,22,28
"../fsst-paper/dbtext/wikipedia",385,6,21,14,16,0.761905,1.14286,1,2,16,20.5,16,22
"../fsst-paper/dbtext/wikipedia",385,7,16,9,9,0.5625,1,1,1,9,15.8889,15,16
"../fsst-paper/dbtext/wikipedia",385,8,9,0,0,0,0,0,0,0,0,0,0
"../fsst-paper/dbtext/yago",313,0,1,1,47,47,47,47,47,47,24,1,47
"../fsst-paper/dbtext/yago",313,1,47,32,158,3.3617,4.9375,1,15,158,97.462,46,160
"../fsst-paper/dbtext/yago",313,2,158,44,54,0.341772,1.22727,1,3,54,115.574,54,157
"../fsst-paper/dbtext/yago",313,3,54,20,20,0.37037,1,1,1,20,37.75,20,53
"../fsst-paper/dbtext/yago",313,4,20,14,14,0.7,1,1,1,14,18.2143,14,20
"../fsst-paper/dbtext/yago",313,5,14,10,10,0.714286,1,1,1,10,12.8,12,14
"../fsst-paper/dbtext/yago",313,6,10,5,5,0.5,1,1,1,5,8.4,7,10
"../fsst-paper/dbtext/yago",313,7,5,4,4,0.8,1,1,1,4,4.75,4,5
"../fsst-paper/dbtext/yago",313,8,4,0,0,0,0,0,0,0,0,0,0
