configuration,Time,file
OptFSST12,6488.7,../fsst-paper/dbtext/hamlet
OptFSST12,3433.37,../fsst-paper/dbtext/hex
OptFSST12,6035.04,../fsst-paper/dbtext/japanese
OptFSST12,7682.16,../fsst-paper/dbtext/l_comment
OptFSST12,3694,../fsst-paper/dbtext/lastname
OptFSST12,4940.29,../fsst-paper/dbtext/location
OptFSST12,3721.96,../fsst-paper/dbtext/movies
OptFSST12,8396.83,../fsst-paper/dbtext/ps_comment
OptFSST12,3466.74,../fsst-paper/dbtext/street
OptFSST12,6691.19,../fsst-paper/dbtext/urls
OptFSST12,4821.73,../fsst-paper/dbtext/urls2
OptFSST12,4615.24,../fsst-paper/dbtext/uuid
OptFSST12,3578.65,../fsst-paper/dbtext/wiki
OptFSST12,4403.63,../fsst-paper/dbtext/wikipedia
OptFSST12,3857.23,../fsst-paper/dbtext/yago
