configuration,Time,file
OptFSST12,3.00178,../fsst-paper/dbtext/japanese
OptFSST12,18.5722,../fsst-paper/dbtext/l_comment
OptFSST12,19.9707,../fsst-paper/dbtext/lastname
OptFSST12,25.964,../fsst-paper/dbtext/location
OptFSST12,18.1566,../fsst-paper/dbtext/movies
OptFSST12,19.6982,../fsst-paper/dbtext/ps_comment
OptFSST12,1.99074,../fsst-paper/dbtext/street
OptFSST12,25.7005,../fsst-paper/dbtext/urls
OptFSST12,14.6571,../fsst-paper/dbtext/urls2
OptFSST12,23.5579,../fsst-paper/dbtext/uuid
OptFSST12,17.4166,../fsst-paper/dbtext/wiki
OptFSST12,19.7627,../fsst-paper/dbtext/wikipedia
OptFSST12,15.2229,../fsst-paper/dbtext/yago
